line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
159,676177.693337,90,128.178.122.39,53774,815,,congestion_avoidance,
160,676177.694338,91,128.178.122.39,53774,714,,congestion_avoidance,
161,676177.695408,92,128.178.122.39,53774,763,,congestion_avoidance,
162,676177.696751,93,128.178.122.39,53774,668,,congestion_avoidance,
163,676177.697302,93,128.178.122.39,53774,,46,congestion_avoidance,cwr
164,676177.697549,46,128.178.122.39,53774,791,,loss_recovery,
165,676177.697932,46,128.178.122.39,53774,,46,loss_recovery,open
166,676177.698683,47,128.178.122.39,53774,402,,congestion_avoidance,
167,676177.699323,48,128.178.122.39,53774,502,,congestion_avoidance,
168,676177.699971,49,128.178.122.39,53774,547,,congestion_avoidance,
169,676177.700728,50,128.178.122.39,53774,531,,congestion_avoidance,
170,676177.701090,51,128.178.122.39,53774,353,,congestion_avoidance,
171,676177.701809,52,128.178.122.39,53774,621,,congestion_avoidance,
172,676177.702202,53,128.178.122.39,53774,455,,congestion_avoidance,
173,676177.702951,54,128.178.122.39,53774,427,,congestion_avoidance,
174,676177.703712,55,128.178.122.39,53774,574,,congestion_avoidance,
175,676177.704405,56,128.178.122.39,53774,575,,congestion_avoidance,
176,676177.705135,57,128.178.122.39,53774,526,,congestion_avoidance,
177,676177.705902,58,128.178.122.39,53774,521,,congestion_avoidance,
178,676177.706270,59,128.178.122.39,53774,618,,congestion_avoidance,
179,676177.707266,60,128.178.122.39,53774,574,,congestion_avoidance,
180,676177.707961,61,128.178.122.39,53774,746,,congestion_avoidance,
181,676177.708765,62,128.178.122.39,53774,477,,congestion_avoidance,
182,676177.709439,63,128.178.122.39,53774,624,,congestion_avoidance,
183,676177.710172,64,128.178.122.39,53774,594,,congestion_avoidance,
184,676177.710838,65,128.178.122.39,53774,722,,congestion_avoidance,
185,676177.711702,66,128.178.122.39,53774,562,,congestion_avoidance,
186,676177.712478,67,128.178.122.39,53774,771,,congestion_avoidance,
187,676177.713311,68,128.178.122.39,53774,577,,congestion_avoidance,
188,676177.714324,69,128.178.122.39,53774,773,,congestion_avoidance,
189,676177.715080,70,128.178.122.39,53774,803,,congestion_avoidance,
190,676177.715915,71,128.178.122.39,53774,561,,congestion_avoidance,
191,676177.716705,72,128.178.122.39,53774,835,,congestion_avoidance,
192,676177.717774,73,128.178.122.39,53774,845,,congestion_avoidance,
193,676177.718484,74,128.178.122.39,53774,755,,congestion_avoidance,
194,676177.719461,75,128.178.122.39,53774,652,,congestion_avoidance,
195,676177.720617,76,128.178.122.39,53774,677,,congestion_avoidance,
196,676177.721271,77,128.178.122.39,53774,649,,congestion_avoidance,
197,676177.722366,78,128.178.122.39,53774,714,,congestion_avoidance,
198,676177.723350,79,128.178.122.39,53774,619,,congestion_avoidance,
199,676177.724296,80,128.178.122.39,53774,726,,congestion_avoidance,
200,676177.725184,81,128.178.122.39,53774,860,,congestion_avoidance,
201,676177.726196,82,128.178.122.39,53774,840,,congestion_avoidance,
202,676177.727346,83,128.178.122.39,53774,946,,congestion_avoidance,
203,676177.728162,84,128.178.122.39,53774,690,,congestion_avoidance,
204,676177.729203,85,128.178.122.39,53774,681,,congestion_avoidance,
205,676177.730280,86,128.178.122.39,53774,691,,congestion_avoidance,
206,676177.731355,87,128.178.122.39,53774,697,,congestion_avoidance,
207,676177.732345,88,128.178.122.39,53774,652,,congestion_avoidance,
208,676177.733515,89,128.178.122.39,53774,755,,congestion_avoidance,
209,676177.734623,90,128.178.122.39,53774,815,,congestion_avoidance,
210,676177.735771,91,128.178.122.39,53774,908,,congestion_avoidance,
211,676177.736820,92,128.178.122.39,53774,885,,congestion_avoidance,
212,676177.737970,93,128.178.122.39,53774,981,,congestion_avoidance,
213,676177.739077,94,128.178.122.39,53774,,47,congestion_avoidance,cwr
214,676177.739140,94,128.178.122.39,53774,756,,loss_recovery,
215,676177.739452,47,128.178.122.39,53774,877,,loss_recovery,
216,676177.739732,47,128.178.122.39,53774,,47,loss_recovery,open
217,676177.740549,48,128.178.122.39,53774,460,,congestion_avoidance,
218,676177.740898,49,128.178.122.39,53774,485,,congestion_avoidance,
219,676177.741651,50,128.178.122.39,53774,523,,congestion_avoidance,
220,676177.742353,51,128.178.122.39,53774,589,,congestion_avoidance,
221,676177.743086,52,128.178.122.39,53774,566,,congestion_avoidance,
222,676177.743413,53,128.178.122.39,53774,609,,congestion_avoidance,
223,676177.744092,54,128.178.122.39,53774,550,,congestion_avoidance,
224,676177.744786,55,128.178.122.39,53774,537,,congestion_avoidance,
225,676177.745571,56,128.178.122.39,53774,484,,congestion_avoidance,
226,676177.746361,57,128.178.122.39,53774,516,,congestion_avoidance,
227,676177.747073,58,128.178.122.39,53774,646,,congestion_avoidance,
228,676177.747799,59,128.178.122.39,53774,604,,congestion_avoidance,
229,676177.748461,60,128.178.122.39,53774,492,,congestion_avoidance,
230,676177.749044,61,128.178.122.39,53774,578,,congestion_avoidance,
231,676177.750048,62,128.178.122.39,53774,490,,congestion_avoidance,
232,676177.750643,63,128.178.122.39,53774,587,,congestion_avoidance,
233,676177.751246,64,128.178.122.39,53774,686,,congestion_avoidance,
234,676177.752123,65,128.178.122.39,53774,751,,congestion_avoidance,
235,676177.753045,66,128.178.122.39,53774,633,,congestion_avoidance,
236,676177.753870,67,128.178.122.39,53774,658,,congestion_avoidance,
237,676177.754522,68,128.178.122.39,53774,787,,congestion_avoidance,
238,676177.755375,69,128.178.122.39,53774,564,,congestion_avoidance,
239,676177.756149,70,128.178.122.39,53774,605,,congestion_avoidance,
240,676177.756978,71,128.178.122.39,53774,553,,congestion_avoidance,
241,676177.758113,72,128.178.122.39,53774,649,,congestion_avoidance,
242,676177.758909,73,128.178.122.39,53774,720,,congestion_avoidance,
243,676177.759806,74,128.178.122.39,53774,801,,congestion_avoidance,
244,676177.760593,75,128.178.122.39,53774,829,,congestion_avoidance,
245,676177.761792,76,128.178.122.39,53774,650,,congestion_avoidance,
246,676177.762471,77,128.178.122.39,53774,590,,congestion_avoidance,
247,676177.763393,78,128.178.122.39,53774,660,,congestion_avoidance,
248,676177.764493,79,128.178.122.39,53774,705,,congestion_avoidance,
249,676177.765427,80,128.178.122.39,53774,916,,congestion_avoidance,
250,676177.766532,81,128.178.122.39,53774,598,,congestion_avoidance,
251,676177.767394,82,128.178.122.39,53774,770,,congestion_avoidance,
252,676177.768448,83,128.178.122.39,53774,780,,congestion_avoidance,
253,676177.769365,84,128.178.122.39,53774,639,,congestion_avoidance,
254,676177.770441,85,128.178.122.39,53774,644,,congestion_avoidance,
255,676177.771510,86,128.178.122.39,53774,676,,congestion_avoidance,
256,676177.772685,87,128.178.122.39,53774,792,,congestion_avoidance,
257,676177.773731,88,128.178.122.39,53774,781,,congestion_avoidance,
258,676177.774812,89,128.178.122.39,53774,811,,congestion_avoidance,
259,676177.775930,90,128.178.122.39,53774,856,,congestion_avoidance,
260,676177.776850,91,128.178.122.39,53774,732,,congestion_avoidance,
261,676177.778044,92,128.178.122.39,53774,862,,congestion_avoidance,
262,676177.778782,92,128.178.122.39,53774,,46,congestion_avoidance,cwr
263,676177.778959,46,128.178.122.39,53774,708,,loss_recovery,
264,676177.779410,46,128.178.122.39,53774,,46,loss_recovery,open
265,676177.780045,47,128.178.122.39,53774,497,,congestion_avoidance,
266,676177.780700,48,128.178.122.39,53774,461,,congestion_avoidance,
267,676177.781273,49,128.178.122.39,53774,479,,congestion_avoidance,
268,676177.781815,50,128.178.122.39,53774,481,,congestion_avoidance,
269,676177.782382,51,128.178.122.39,53774,548,,congestion_avoidance,
270,676177.783014,52,128.178.122.39,53774,555,,congestion_avoidance,
271,676177.783878,53,128.178.122.39,53774,427,,congestion_avoidance,
272,676177.784508,54,128.178.122.39,53774,573,,congestion_avoidance,
273,676177.785019,55,128.178.122.39,53774,553,,congestion_avoidance,
274,676177.785766,56,128.178.122.39,53774,492,,congestion_avoidance,
275,676177.786550,57,128.178.122.39,53774,521,,congestion_avoidance,
276,676177.787044,58,128.178.122.39,53774,486,,congestion_avoidance,
277,676177.787948,59,128.178.122.39,53774,530,,congestion_avoidance,
278,676177.788593,60,128.178.122.39,53774,692,,congestion_avoidance,
279,676177.789384,61,128.178.122.39,53774,680,,congestion_avoidance,
280,676177.790193,62,128.178.122.39,53774,712,,congestion_avoidance,
281,676177.790790,63,128.178.122.39,53774,542,,congestion_avoidance,
282,676177.791623,64,128.178.122.39,53774,572,,congestion_avoidance,
283,676177.792475,65,128.178.122.39,53774,622,,congestion_avoidance,
284,676177.793096,66,128.178.122.39,53774,668,,congestion_avoidance,
285,676177.794029,67,128.178.122.39,53774,622,,congestion_avoidance,
286,676177.794832,68,128.178.122.39,53774,627,,congestion_avoidance,
287,676177.795596,69,128.178.122.39,53774,526,,congestion_avoidance,
