[206115.574207] audit: type=1400 audit(1780869602.243:146): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=137210 comm="cupsd" capability=12  capname="net_admin"
[208746.456832] TCP: my_cca: seq=12500 cwnd=18 rtt=103 bytes_acked=35127032 bytes_sent=35131376 phase=slow_start Destination: 192.168.88.253:42620
[208746.460488] TCP: my_cca: seq=12600 cwnd=18 rtt=132 bytes_acked=35377536 bytes_sent=35384776 phase=slow_start Destination: 192.168.88.253:42620
[208746.464148] TCP: my_cca: seq=12700 cwnd=18 rtt=133 bytes_acked=35633832 bytes_sent=35639624 phase=slow_start Destination: 192.168.88.253:42620
[208746.468822] TCP: my_cca: seq=12800 cwnd=18 rtt=103 bytes_acked=35921984 bytes_sent=35929224 phase=slow_start Destination: 192.168.88.253:42620
[208746.472356] TCP: my_cca: seq=12900 cwnd=18 rtt=139 bytes_acked=36166696 bytes_sent=36173936 phase=slow_start Destination: 192.168.88.253:42620
[208746.476169] TCP: my_cca: seq=13000 cwnd=18 rtt=139 bytes_acked=36422992 bytes_sent=36428784 phase=slow_start Destination: 192.168.88.253:42620
[208746.479688] TCP: my_cca: seq=13100 cwnd=18 rtt=143 bytes_acked=36670600 bytes_sent=36677840 phase=slow_start Destination: 192.168.88.253:42620
[208746.483741] TCP: my_cca: seq=13200 cwnd=18 rtt=117 bytes_acked=36941376 bytes_sent=36948616 phase=slow_start Destination: 192.168.88.253:42620
[208746.487310] TCP: my_cca: seq=13300 cwnd=18 rtt=130 bytes_acked=37191880 bytes_sent=37199120 phase=slow_start Destination: 192.168.88.253:42620
[208746.490978] TCP: my_cca: seq=13400 cwnd=18 rtt=102 bytes_acked=37448176 bytes_sent=37453968 phase=slow_start Destination: 192.168.88.253:42620
[208746.494738] TCP: my_cca: seq=13500 cwnd=18 rtt=154 bytes_acked=37701576 bytes_sent=37708816 phase=slow_start Destination: 192.168.88.253:42620
[208746.498501] TCP: my_cca: seq=13600 cwnd=18 rtt=110 bytes_acked=37952080 bytes_sent=37957872 phase=slow_start Destination: 192.168.88.253:42620
[208746.502167] TCP: my_cca: seq=13700 cwnd=18 rtt=140 bytes_acked=38206928 bytes_sent=38212720 phase=slow_start Destination: 192.168.88.253:42620
[208746.505699] TCP: my_cca: seq=13800 cwnd=18 rtt=135 bytes_acked=38454536 bytes_sent=38461776 phase=slow_start Destination: 192.168.88.253:42620
[208746.509356] TCP: my_cca: seq=13900 cwnd=18 rtt=109 bytes_acked=38713728 bytes_sent=38720968 phase=slow_start Destination: 192.168.88.253:42620
