line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
465,79309.540484,46,192.168.88.253,58816,434,,congestion_avoidance,
466,79309.540740,47,192.168.88.253,58816,488,,congestion_avoidance,
467,79309.541384,48,192.168.88.253,58816,586,,congestion_avoidance,
468,79309.541968,49,192.168.88.253,58816,553,,congestion_avoidance,
469,79309.542591,50,192.168.88.253,58816,446,,congestion_avoidance,
470,79309.543191,51,192.168.88.253,58816,553,,congestion_avoidance,
471,79309.543486,31,192.168.88.253,58816,587,,loss_recovery,
472,79309.543788,25,192.168.88.253,58816,624,,loss_recovery,
473,79309.544356,26,192.168.88.253,58816,316,,congestion_avoidance,
474,79309.544646,27,192.168.88.253,58816,285,,congestion_avoidance,
475,79309.544986,28,192.168.88.253,58816,302,,congestion_avoidance,
476,79309.545332,29,192.168.88.253,58816,341,,congestion_avoidance,
477,79309.545657,30,192.168.88.253,58816,280,,congestion_avoidance,
478,79309.546020,31,192.168.88.253,58816,198,,congestion_avoidance,
479,79309.546333,32,192.168.88.253,58816,308,,congestion_avoidance,
480,79309.546912,33,192.168.88.253,58816,259,,congestion_avoidance,
481,79309.547231,34,192.168.88.253,58816,325,,congestion_avoidance,
482,79309.547491,35,192.168.88.253,58816,284,,congestion_avoidance,
483,79309.548178,36,192.168.88.253,58816,279,,congestion_avoidance,
484,79309.548518,37,192.168.88.253,58816,300,,congestion_avoidance,
485,79309.548814,38,192.168.88.253,58816,426,,congestion_avoidance,
486,79309.549365,39,192.168.88.253,58816,423,,congestion_avoidance,
487,79309.549976,40,192.168.88.253,58816,361,,congestion_avoidance,
488,79309.550697,41,192.168.88.253,58816,344,,congestion_avoidance,
489,79309.551000,42,192.168.88.253,58816,511,,congestion_avoidance,
490,79309.551611,43,192.168.88.253,58816,524,,congestion_avoidance,
491,79309.551860,44,192.168.88.253,58816,407,,congestion_avoidance,
492,79309.552855,45,192.168.88.253,58816,383,,congestion_avoidance,
493,79309.553143,46,192.168.88.253,58816,536,,congestion_avoidance,
494,79309.553655,47,192.168.88.253,58816,489,,congestion_avoidance,
495,79309.554246,48,192.168.88.253,58816,527,,congestion_avoidance,
496,79309.554870,49,192.168.88.253,58816,442,,congestion_avoidance,
497,79309.555426,50,192.168.88.253,58816,508,,congestion_avoidance,
498,79309.555994,51,192.168.88.253,58816,562,,congestion_avoidance,
499,79309.556687,52,192.168.88.253,58816,480,,congestion_avoidance,
500,79309.557241,53,192.168.88.253,58816,671,,congestion_avoidance,
501,79309.558088,26,192.168.88.253,58816,511,,loss_recovery,
502,79309.558749,27,192.168.88.253,58816,290,,congestion_avoidance,
503,79309.559085,28,192.168.88.253,58816,232,,congestion_avoidance,
504,79309.559363,29,192.168.88.253,58816,258,,congestion_avoidance,
505,79309.559654,30,192.168.88.253,58816,287,,congestion_avoidance,
506,79309.560244,31,192.168.88.253,58816,388,,congestion_avoidance,
507,79309.560568,32,192.168.88.253,58816,280,,congestion_avoidance,
508,79309.560867,33,192.168.88.253,58816,318,,congestion_avoidance,
509,79309.561164,34,192.168.88.253,58816,368,,congestion_avoidance,
510,79309.561743,35,192.168.88.253,58816,277,,congestion_avoidance,
511,79309.562060,36,192.168.88.253,58816,313,,congestion_avoidance,
512,79309.562572,37,192.168.88.253,58816,320,,congestion_avoidance,
513,79309.563144,38,192.168.88.253,58816,354,,congestion_avoidance,
514,79309.563426,39,192.168.88.253,58816,425,,congestion_avoidance,
515,79309.564011,40,192.168.88.253,58816,348,,congestion_avoidance,
516,79309.564353,41,192.168.88.253,58816,501,,congestion_avoidance,
