queue_bytes	burst_bytes	rate_mbit	mode	configured_cwnd	attempt	display_cwnd	throughput_mib_s	loss_rate	row_count	loss_rows	first_loss_cwnd	avg_top_cwnd	result_dir	server_log	client_log
11680	5840	1000	bdp	35	1	35	65.60	0.409114	5925	2424	14	13.82	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_33940_35	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_bdp_35_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_bdp_35_run1/client.log
11680	12500	500	reno	0	1	12.16	45.36	0.457023	8551	3908	16	12.16	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_40422_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_reno_0_run1/client.log
11680	12500	500	empirical	12	1	12	55.55	0.448813	16508	7409	12	10.89	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_50620_12	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_12_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_12_run1/client.log
11680	12500	500	empirical	11	2	11	55.64	0.452166	22578	10209	11	10.57	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_34910_11	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_11_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_11_run2/client.log
11680	12500	500	empirical	10	3	10	56.01	0.412507	12441	5132	10	9.95	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_58868_10	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_10_run3/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_10_run3/client.log
11680	12500	500	empirical	9	4	9	55.82	0.273363	5864	1603	9	8.97	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_53762_9	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_9_run4/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_9_run4/client.log
11680	12500	500	empirical	8	5	8	55.87	0.004380	2283	10	8	8.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_36868_8	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_8_run5/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_empirical_8_run5/client.log
11680	12500	500	bdp_plus_queue	24	1	24	44.02	0.450694	14187	6394	14	12.98	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_46044_24	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_bdp_plus_queue_24_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_bdp_plus_queue_24_run1/client.log
11680	12500	500	bdp	18	1	18	54.00	0.455065	14877	6770	12	11.05	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_36994_18	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_bdp_18_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_500mbit_bdp_18_run1/client.log
11680	12500	750	reno	0	1	15.78	45.94	0.430234	7819	3364	17	15.78	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_50514_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_reno_0_run1/client.log
11680	12500	750	empirical	15	1	15	78.38	0.399876	4839	1935	15	14.81	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_48324_15	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_15_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_15_run1/client.log
11680	12500	750	empirical	14	2	14	81.34	0.346794	5770	2001	14	13.88	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_49296_14	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_14_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_14_run2/client.log
11680	12500	750	empirical	13	3	13	80.46	0.212480	2452	521	13	12.92	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_43860_13	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_13_run3/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_13_run3/client.log
11680	12500	750	empirical	12	4	12	80.72	0.234852	3994	938	12	11.94	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_45786_12	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_12_run4/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_12_run4/client.log
11680	12500	750	empirical	11	5	11	83.00	0.018824	2550	48	11	11.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_45506_11	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_11_run5/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_11_run5/client.log
11680	12500	750	empirical	10	6	10	80.35	0.000000	506	0		10.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_40148_10	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_10_run6/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_empirical_10_run6/client.log
11680	12500	750	bdp_plus_queue	32	1	32	40.61	0.433127	8905	3857	26	15.88	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_53240_32	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_bdp_plus_queue_32_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_bdp_plus_queue_32_run1/client.log
11680	12500	750	bdp	26	1	26	42.85	0.432039	11205	4841	16	15.92	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_39810_26	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_bdp_26_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_750mbit_bdp_26_run1/client.log
11680	12500	1000	reno	0	1	16.45	25.58	0.437517	10747	4702	25	16.45	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_37422_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_reno_0_run1/client.log
11680	12500	1000	empirical	16	1	16	25.77	0.426875	2694	1150	16	16.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_52802_16	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_empirical_16_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_empirical_16_run1/client.log
11680	12500	1000	empirical	15	2	15	100.98	0.000000	147	0		15.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_49022_15	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_empirical_15_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_empirical_15_run2/client.log
11680	12500	1000	bdp_plus_queue	41	1	41	29.65	0.434383	12390	5382	16	16.57	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_36722_41	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_bdp_plus_queue_41_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_bdp_plus_queue_41_run1/client.log
11680	12500	1000	bdp	35	1	35	22.98	0.437715	5531	2421	16	16.38	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_37862_35	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_bdp_35_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_12500burst_1000mbit_bdp_35_run1/client.log
