queue_bytes,burst_bytes,tgr_mbit,strategy,cwnd,throughput_mib_s,empirical_max_loss_rate
12500,100000,250,bdp_plus_queue,16.0,28.35,0.2
12500,100000,250,bdp,8.0,28.4,0.2
12500,100000,500,reno,11.21,50.72,0.2
12500,100000,500,empirical,9.0,56.81,0.2
12500,100000,500,bdp_plus_queue,24.0,47.75,0.2
12500,100000,500,bdp,17.0,56.76,0.2
12500,100000,750,reno,16.69,63.05,0.2
12500,100000,750,empirical,13.0,84.31,0.2
12500,100000,750,bdp_plus_queue,33.0,51.51,0.2
12500,100000,750,bdp,25.0,60.98,0.2
12500,100000,1000,reno,19.33,57.8,0.2
12500,100000,1000,empirical,17.0,107.62,0.2
12500,100000,1000,bdp_plus_queue,41.0,57.5,0.2
12500,100000,1000,bdp,34.0,51.3,0.2
25000,5840,250,reno,15.85,28.16,0.05
25000,5840,250,empirical,15.0,28.32,0.05
25000,5840,250,bdp_plus_queue,24.0,28.28,0.05
25000,5840,250,bdp,8.0,28.33,0.05
25000,5840,500,reno,16.94,56.23,0.05
25000,5840,500,empirical,16.0,56.62,0.05
25000,5840,500,bdp_plus_queue,33.0,56.42,0.05
25000,5840,500,bdp,17.0,56.49,0.05
25000,5840,750,reno,18.76,81.54,0.05
25000,5840,750,empirical,18.0,82.65,0.05
25000,5840,750,bdp_plus_queue,41.0,81.47,0.05
25000,5840,750,bdp,25.0,81.44,0.05
25000,5840,1000,reno,24.53,104.03,0.05
25000,5840,1000,empirical,22.0,107.33,0.05
25000,5840,1000,bdp_plus_queue,50.0,83.8,0.05
25000,5840,1000,bdp,34.0,78.67,0.05
25000,12500,250,reno,17.5,28.41,0.05
25000,12500,250,empirical,16.0,28.37,0.05
25000,12500,250,bdp_plus_queue,24.0,28.37,0.05
25000,12500,250,bdp,8.0,28.28,0.05
25000,12500,500,reno,18.48,55.88,0.05
25000,12500,500,empirical,16.0,56.71,0.05
25000,12500,500,bdp_plus_queue,33.0,53.8,0.05
25000,12500,500,bdp,17.0,56.48,0.05
25000,12500,750,reno,19.52,82.34,0.05
25000,12500,750,empirical,17.0,84.45,0.05
25000,12500,750,bdp_plus_queue,41.0,75.17,0.05
25000,12500,750,bdp,25.0,82.33,0.05
25000,12500,1000,reno,27.25,86.78,0.05
25000,12500,1000,empirical,25.0,90.44,0.05
25000,12500,1000,bdp_plus_queue,50.0,107.21,0.05
25000,12500,1000,bdp,34.0,108.42,0.05
25000,25000,250,reno,18.26,28.34,0.05
25000,25000,250,empirical,16.0,28.43,0.05
25000,25000,250,bdp_plus_queue,24.0,28.34,0.05
25000,25000,250,bdp,8.0,28.35,0.05
25000,25000,500,reno,19.64,56.63,0.05
25000,25000,500,empirical,16.0,56.72,0.05
25000,25000,500,bdp_plus_queue,33.0,56.51,0.05
25000,25000,500,bdp,17.0,56.62,0.05
25000,25000,750,reno,21.89,84.76,0.05
25000,25000,750,empirical,18.0,84.99,0.05
25000,25000,750,bdp_plus_queue,41.0,80.23,0.05
25000,25000,750,bdp,25.0,81.27,0.05
25000,25000,1000,reno,34.82,108.95,0.05
25000,25000,1000,empirical,33.0,104.69,0.05
25000,25000,1000,bdp_plus_queue,50.0,109.46,0.05
25000,25000,1000,bdp,34.0,109.53,0.05
25000,50000,250,reno,18.26,28.45,0.05
25000,50000,250,empirical,16.0,28.46,0.05
25000,50000,250,bdp_plus_queue,24.0,28.45,0.05
25000,50000,250,bdp,8.0,28.38,0.05
25000,50000,500,reno,19.41,56.51,0.05
25000,50000,500,empirical,16.0,56.09,0.05
25000,50000,500,bdp_plus_queue,33.0,56.65,0.05
25000,50000,500,bdp,17.0,56.47,0.05
25000,50000,750,reno,22.05,85.22,0.05
25000,50000,750,empirical,18.0,85.07,0.05
25000,50000,750,bdp_plus_queue,41.0,84.59,0.05
25000,50000,750,bdp,25.0,84.58,0.05
25000,50000,1000,reno,40.58,101.08,0.05
25000,50000,1000,empirical,33.0,100.89,0.05
25000,50000,1000,bdp_plus_queue,50.0,80.41,0.05
25000,50000,1000,bdp,34.0,86.34,0.05
25000,100000,250,reno,18.24,28.46,0.05
25000,100000,250,empirical,16.0,28.46,0.05
25000,100000,250,bdp_plus_queue,24.0,28.46,0.05
25000,100000,250,bdp,8.0,28.41,0.05
