[378917.006670] audit: type=1400 audit(1781042404.528:156): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=2401019 comm="cupsd" capability=12  capname="net_admin"
[378917.055091] audit: type=1400 audit(1781042404.576:157): apparmor="DENIED" operation="capable" profile="/usr/sbin/cups-browsed" pid=2401041 comm="cups-browsed" capability=23  capname="sys_nice"
[400886.138247] audit: type=1326 audit(1781064373.769:158): auid=1000 uid=1000 gid=1000 ses=3 subj=snap.snap-store.ubuntu-software pid=211902 comm="pool-org.gnome." exe="/snap/snap-store/1216/usr/bin/snap-store" sig=0 arch=c000003e syscall=93 compat=0 ip=0x7f4bf0bc1b1b code=0x50000
[402336.181986] systemd[1]: systemd 249.11-0ubuntu3.21 running in system mode (+PAM +AUDIT +SELINUX +APPARMOR +IMA +SMACK +SECCOMP +GCRYPT +GNUTLS +OPENSSL +ACL +BLKID +CURL +ELFUTILS +FIDO2 +IDN2 -IDN +IPTC +KMOD +LIBCRYPTSETUP +LIBFDISK +PCRE2 -PWQUALITY -P11KIT -QRENCODE +BZIP2 +LZ4 +XZ +ZLIB +ZSTD -XKBCOMMON +UTMP +SYSVINIT default-hierarchy=unified)
[402336.200859] systemd[1]: Detected architecture x86-64.
[402336.201047] Lockdown: systemd: /dev/mem,kmem,port is restricted; see man kernel_lockdown.7
[402336.315698] systemd[1]: Configuration file /run/systemd/system/netplan-ovs-cleanup.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.
[402336.363974] systemd[1]: /lib/systemd/system/snapd.service:23: Unknown key name 'RestartMode' in section 'Service', ignoring.
[402337.070075] systemd-journald[280]: Received SIGTERM from PID 1 (systemd).
[402337.070450] systemd[1]: Stopping Journal Service...
[402337.108349] systemd[1]: systemd-journald.service: Deactivated successfully.
[402337.108837] systemd[1]: Stopped Journal Service.
[402337.108895] systemd[1]: systemd-journald.service: Consumed 6h 51min 28.868s CPU time.
[402337.112700] systemd[1]: Starting Journal Service...
[402337.160449] systemd[1]: Started Journal Service.
[434357.914780] TCP: my_cca: seq=2800 cwnd=52 rtt=480 bytes_acked=9112264 bytes_sent=9400416 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.917836] TCP: my_cca: seq=2900 cwnd=56 rtt=652 bytes_acked=9471368 bytes_sent=9772552 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.920994] TCP: my_cca: seq=3000 cwnd=61 rtt=607 bytes_acked=9843504 bytes_sent=10144688 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.923963] TCP: my_cca: seq=3100 cwnd=64 rtt=673 bytes_acked=10191024 bytes_sent=10493656 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.924532] TCP: my_cca: seq=3121 cwnd=65 rtt=722 bytes_acked=10259080 bytes_sent=10583432 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.925131] TCP: my_cca: seq=3140 cwnd=32 rtt=303 bytes_acked=10327136 bytes_sent=10629768 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.926998] TCP: my_cca: seq=3200 cwnd=36 rtt=347 bytes_acked=10547232 bytes_sent=10858552 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.930145] TCP: my_cca: seq=3300 cwnd=43 rtt=386 bytes_acked=10917920 bytes_sent=11236480 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.933248] TCP: my_cca: seq=3400 cwnd=48 rtt=560 bytes_acked=11284264 bytes_sent=11610064 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.936352] TCP: my_cca: seq=3500 cwnd=53 rtt=627 bytes_acked=11647712 bytes_sent=11977856 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.939378] TCP: my_cca: seq=3600 cwnd=58 rtt=513 bytes_acked=12008264 bytes_sent=12322480 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.942312] TCP: my_cca: seq=3700 cwnd=62 rtt=520 bytes_acked=12351440 bytes_sent=12668552 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.945450] TCP: my_cca: seq=3800 cwnd=65 rtt=476 bytes_acked=12719232 bytes_sent=13042136 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.945993] TCP: my_cca: seq=3818 cwnd=66 rtt=490 bytes_acked=12782944 bytes_sent=13137704 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.946534] TCP: my_cca: seq=3838 cwnd=33 rtt=330 bytes_acked=12846656 bytes_sent=13188384 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.948570] TCP: my_cca: seq=3900 cwnd=37 rtt=323 bytes_acked=13087024 bytes_sent=13425856 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.951599] TCP: my_cca: seq=4000 cwnd=43 rtt=515 bytes_acked=13441784 bytes_sent=13784960 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.954524] TCP: my_cca: seq=4100 cwnd=49 rtt=468 bytes_acked=13786408 bytes_sent=14133928 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.957468] TCP: my_cca: seq=4200 cwnd=53 rtt=594 bytes_acked=14135376 bytes_sent=14498824 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.960495] TCP: my_cca: seq=4300 cwnd=58 rtt=702 bytes_acked=14490136 bytes_sent=14849240 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.963454] TCP: my_cca: seq=4400 cwnd=62 rtt=492 bytes_acked=14837656 bytes_sent=15192416 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.966597] TCP: my_cca: seq=4500 cwnd=66 rtt=457 bytes_acked=15208344 bytes_sent=15566000 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.967732] TCP: my_cca: seq=4534 cwnd=67 rtt=537 bytes_acked=15335768 bytes_sent=15726728 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.968227] TCP: my_cca: seq=4551 cwnd=33 rtt=305 bytes_acked=15398032 bytes_sent=15762928 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.969757] TCP: my_cca: seq=4600 cwnd=36 rtt=365 bytes_acked=15573240 bytes_sent=15952616 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.972964] TCP: my_cca: seq=4700 cwnd=43 rtt=502 bytes_acked=15954064 bytes_sent=16330544 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.976129] TCP: my_cca: seq=4800 cwnd=48 rtt=574 bytes_acked=16326200 bytes_sent=16722952 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.979315] TCP: my_cca: seq=4900 cwnd=53 rtt=528 bytes_acked=16701232 bytes_sent=17096536 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.982258] TCP: my_cca: seq=5000 cwnd=58 rtt=526 bytes_acked=17048752 bytes_sent=17435368 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.985245] TCP: my_cca: seq=5100 cwnd=62 rtt=587 bytes_acked=17399168 bytes_sent=17813296 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.988257] TCP: my_cca: seq=5200 cwnd=66 rtt=668 bytes_acked=17751032 bytes_sent=18155024 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.991397] TCP: my_cca: seq=5300 cwnd=69 rtt=628 bytes_acked=18123168 bytes_sent=18528608 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.991992] TCP: my_cca: seq=5319 cwnd=70 rtt=678 bytes_acked=18194120 bytes_sent=18625624 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.992608] TCP: my_cca: seq=5338 cwnd=35 rtt=337 bytes_acked=18265072 bytes_sent=18676304 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.994570] TCP: my_cca: seq=5400 cwnd=39 rtt=368 bytes_acked=18496752 bytes_sent=18900744 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.997547] TCP: my_cca: seq=5500 cwnd=45 rtt=400 bytes_acked=18847168 bytes_sent=19272880 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.000643] TCP: my_cca: seq=5600 cwnd=50 rtt=557 bytes_acked=19210616 bytes_sent=19647912 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.003490] TCP: my_cca: seq=5700 cwnd=54 rtt=576 bytes_acked=19546552 bytes_sent=19988192 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.006419] TCP: my_cca: seq=5800 cwnd=59 rtt=574 bytes_acked=19891176 bytes_sent=20335712 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.009418] TCP: my_cca: seq=5900 cwnd=63 rtt=682 bytes_acked=20243040 bytes_sent=20680336 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.012351] TCP: my_cca: seq=6000 cwnd=66 rtt=713 bytes_acked=20589112 bytes_sent=21023512 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.015317] TCP: my_cca: seq=6100 cwnd=70 rtt=500 bytes_acked=20940976 bytes_sent=21365240 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.018398] TCP: my_cca: seq=6200 cwnd=72 rtt=631 bytes_acked=21300080 bytes_sent=21738824 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.020024] TCP: my_cca: seq=6255 cwnd=74 rtt=659 bytes_acked=21492664 bytes_sent=22003808 phase=loss_recovery Destination: 192.168.88.253:44632
[434358.020671] TCP: my_cca: seq=6278 cwnd=37 rtt=402 bytes_acked=21563616 bytes_sent=22042904 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.021369] TCP: my_cca: seq=6300 cwnd=38 rtt=300 bytes_acked=21649048 bytes_sent=22128336 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.024285] TCP: my_cca: seq=6400 cwnd=44 rtt=533 bytes_acked=21993672 bytes_sent=22485992 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.027228] TCP: my_cca: seq=6500 cwnd=49 rtt=475 bytes_acked=22339744 bytes_sent=22837856 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.030416] TCP: my_cca: seq=6600 cwnd=54 rtt=488 bytes_acked=22716224 bytes_sent=23215784 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.033327] TCP: my_cca: seq=6700 cwnd=58 rtt=501 bytes_acked=23056504 bytes_sent=23560408 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.036260] TCP: my_cca: seq=6800 cwnd=62 rtt=551 bytes_acked=23402576 bytes_sent=23933992 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.039403] TCP: my_cca: seq=6900 cwnd=66 rtt=782 bytes_acked=23768920 bytes_sent=24278616 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.042365] TCP: my_cca: seq=7000 cwnd=70 rtt=568 bytes_acked=24120784 bytes_sent=24655096 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.045473] TCP: my_cca: seq=7100 cwnd=72 rtt=500 bytes_acked=24487128 bytes_sent=24992480 phase=congestion_avoidance Destination: 192.168.88.253:44632
